model,het,method,data_seed,run_seed,heldout_loss,base_loss,delta_loss,final_train_loss,comm_mb_total,upload_mb_total,active_clients,run_dir,gpu_name,wall_clock_s
tl,a01,fedit,2008,7002,1.6932062079659522,2.1206655930514597,-0.4274593850855075,1.726719182389747,2320.3125,1160.15625,9,results/raw/vp_tl_fedit_a01/fedit/seed_2008_run7002/prod_v1/20260917_213813,NVIDIA GeForce RTX 4090,2040.9637307603844
tl,a01,ffa_lora,2008,7002,1.7150842046144916,2.1206655930514597,-0.4055813884369681,1.7643823703962085,884.8125,467.15625,9,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2008_run7002/prod_v1/20260917_221331,NVIDIA GeForce RTX 4090,2003.8161577587016
tl,a01,flora,2008,7002,1.694057696819197,2.1206655930514597,-0.4266078962322628,1.733153748269344,2320.3125,1160.15625,9,results/raw/vp_tl_flora_a01/flora/seed_2008_run7002/prod_v1/20260917_224805,NVIDIA GeForce RTX 4090,2458.962444684934
tl,a01,fedit,2009,7001,1.7009074613787016,2.1206655930514597,-0.4197581316727581,1.6175501740562812,2578.125,1289.0625,10,results/raw/vp_tl_fedit_a01/fedit/seed_2009_run7001/prod_v1/20260917_184436,NVIDIA GeForce RTX 4090,1629.7365106289508
tl,a01,ffa_lora,2009,7001,1.718905039264392,2.1206655930514597,-0.40176055378706765,1.6676541146386328,983.125,519.0625,10,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2009_run7001/prod_v1/20260917_191224,NVIDIA GeForce RTX 4090,1613.1137412009994
tl,a01,flora,2009,7001,1.697100186619231,2.1206655930514597,-0.42356540643222873,1.6157011921631437,2578.125,1289.0625,10,results/raw/vp_tl_flora_a01/flora/seed_2009_run7001/prod_v1/20260917_193954,NVIDIA GeForce RTX 4090,1758.324171962915
tl,a01,fedit,2009,7002,1.701324077446181,2.1206655930514597,-0.41934151560527866,1.6145071036455434,2578.125,1289.0625,10,results/raw/vp_tl_fedit_a01/fedit/seed_2009_run7002/prod_v1/20260917_190128,NVIDIA GeForce RTX 4090,1603.2577087100362
tl,a01,ffa_lora,2009,7002,1.7186920065213303,2.1206655930514597,-0.4019735865301295,1.6665062263790655,983.125,519.0625,10,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2009_run7002/prod_v1/20260917_192854,NVIDIA GeForce RTX 4090,1592.9759622880956
tl,a01,flora,2009,7002,1.6964103695612311,2.1206655930514597,-0.4242552234902286,1.6118675104917337,2578.125,1289.0625,10,results/raw/vp_tl_flora_a01/flora/seed_2009_run7002/prod_v1/20260917_195609,NVIDIA GeForce RTX 4090,1956.9773233119631
tl,a01,fedit,2010,7001,1.6978506621183502,2.1206655930514597,-0.4228149309331095,1.6219322102234788,2578.125,1289.0625,10,results/raw/vp_tl_fedit_a01/fedit/seed_2010_run7001/prod_v1/20260917_233048,NVIDIA GeForce RTX 4090,2044.1781681850553
tl,a01,ffa_lora,2010,7001,1.722779256076922,2.1206655930514597,-0.3978863369745378,1.6723137950685245,983.125,519.0625,10,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2010_run7001/prod_v1/20260918_000611,NVIDIA GeForce RTX 4090,2017.457594344858
tl,a01,flora,2010,7001,1.695863725017075,2.1206655930514597,-0.4248018680343848,1.622484681176627,2578.125,1289.0625,10,results/raw/vp_tl_flora_a01/flora/seed_2010_run7001/prod_v1/20260918_004115,NVIDIA GeForce RTX 4090,2489.865280665923
tl,a01,fedit,2010,7002,1.6978422321343982,2.1206655930514597,-0.4228233609170615,1.619621438832914,2578.125,1289.0625,10,results/raw/vp_tl_fedit_a01/fedit/seed_2010_run7002/prod_v1/20260917_200952,NVIDIA GeForce RTX 4090,1624.734490726958
tl,a01,ffa_lora,2010,7002,1.72304302323195,2.1206655930514597,-0.3976225698195097,1.6691820550120071,983.125,519.0625,10,results/raw/vp_tl_ffa_lora_a01/ffa_lora/seed_2010_run7002/prod_v1/20260917_203736,NVIDIA GeForce RTX 4090,1610.6619590049377
