exp,model,het,method,tag,data_seed,run_seed,torch,cuda,transformers,peft,datasets,gpu,path
vp_tl_flora_a01,tl,a01,flora,prod_v1,2006,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2006_run7001/prod_v1/20260917_164924
vp_tl_flora_a01,tl,a01,flora,prod_v1,2001,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_flora_a01/flora/seed_2001_run7002/prod_v1/20260917_123302
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2004,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2004_run7002/prod_v2/20260919_062734
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2003,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2003_run7001/prod_v2/20260919_045104
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2002,7001,2.11.0+cu128,12.8,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2002_run7001/prod_v2/20260919_034624
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2005,7002,2.14.0+cu130,13.0,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2005_run7002/prod_v2/20260919_071558
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2010,7001,2.14.0+cu130,13.0,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2010_run7001/prod_v2/20260919_113926
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2009,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2009_run7001/prod_v2/20260919_105157
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2007,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2007_run7002/prod_v2/20260919_092349
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2006,7002,2.11.0+cu128,12.8,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2006_run7002/prod_v2/20260919_090945
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2008,7001,2.11.0+cu128,12.8,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2008_run7001/prod_v2/20260919_103653
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2001,7001,2.14.0+cu130,13.0,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2001_run7001/prod_v2/20260919_023812
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2004,7001,2.14.0+cu130,13.0,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2004_run7001/prod_v2/20260919_054804
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2003,7002,2.11.0+cu128,12.8,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2003_run7002/prod_v2/20260919_061259
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2002,7002,2.14.0+cu130,13.0,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2002_run7002/prod_v2/20260919_040749
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2005,7001,2.11.0+cu128,12.8,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2005_run7001/prod_v2/20260919_074231
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2010,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2010_run7002/prod_v2/20260919_122031
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2007,7001,2.14.0+cu130,13.0,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2007_run7001/prod_v2/20260919_084344
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2009,7002,2.11.0+cu128,12.8,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2009_run7002/prod_v2/20260919_120351
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2008,7002,2.14.0+cu130,13.0,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2008_run7002/prod_v2/20260919_101134
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2006,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2006_run7001/prod_v2/20260919_075523
vp_tl_ffa_lora_a05,tl,a05,ffa_lora,prod_v2,2001,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_ffa_lora_a05/ffa_lora/seed_2001_run7002/prod_v2/20260919_032244
vp_l3_fedit_iid,l3,iid,fedit,prod_v1,2001,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_fedit_iid/fedit/seed_2001_run7001/prod_v1/20260917_221248
vp_l3_fedit_iid,l3,iid,fedit,prod_v1,2001,7003,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_fedit_iid/fedit/seed_2001_run7003/prod_v1/20260918_014400
vp_l3_fedit_iid,l3,iid,fedit,prod_v1,2001,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_fedit_iid/fedit/seed_2001_run7002/prod_v1/20260917_221101
vp_tl_fedit_iid,tl,iid,fedit,prod_v1,2001,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_iid/fedit/seed_2001_run7001/prod_v1/20260917_084745
vp_tl_fedit_iid,tl,iid,fedit,prod_v1,2001,7004,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_iid/fedit/seed_2001_run7004/prod_v1/20260917_101247
vp_tl_fedit_iid,tl,iid,fedit,prod_v1,2001,7003,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_iid/fedit/seed_2001_run7003/prod_v1/20260917_090313
vp_tl_fedit_iid,tl,iid,fedit,prod_v1,2001,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_iid/fedit/seed_2001_run7002/prod_v1/20260917_084745
vp_tl_fedit_iid,tl,iid,fedit,prod_v1,2001,7005,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_iid/fedit/seed_2001_run7005/prod_v1/20260917_101535
vp_l3_ffa_lora_a01,l3,a01,ffa_lora,prod_v1,2004,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2004_run7002/prod_v1/20260918_062723
vp_l3_ffa_lora_a01,l3,a01,ffa_lora,prod_v1,2003,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2003_run7001/prod_v1/20260918_035854
vp_l3_ffa_lora_a01,l3,a01,ffa_lora,prod_v1,2002,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2002_run7001/prod_v1/20260918_052145
vp_l3_ffa_lora_a01,l3,a01,ffa_lora,prod_v1,2005,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2005_run7002/prod_v1/20260918_103424
vp_l3_ffa_lora_a01,l3,a01,ffa_lora,prod_v2,2010,7001,2.14.0+cu130,13.0,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2010_run7001/prod_v2/20260919_175513
vp_l3_ffa_lora_a01,l3,a01,ffa_lora,prod_v2,2009,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2009_run7001/prod_v2/20260919_181705
vp_l3_ffa_lora_a01,l3,a01,ffa_lora,prod_v2,2007,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2007_run7002/prod_v2/20260919_141520
vp_l3_ffa_lora_a01,l3,a01,ffa_lora,prod_v1,2006,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2006_run7002/prod_v1/20260918_134212
vp_l3_ffa_lora_a01,l3,a01,ffa_lora,prod_v2,2008,7001,2.11.0+cu128,12.8,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2008_run7001/prod_v2/20260919_135436
vp_l3_ffa_lora_a01,l3,a01,ffa_lora,prod_v1,2001,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2001_run7001/prod_v1/20260918_020730
vp_l3_ffa_lora_a01,l3,a01,ffa_lora,prod_v1,2004,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2004_run7001/prod_v1/20260918_074521
vp_l3_ffa_lora_a01,l3,a01,ffa_lora,prod_v1,2003,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2003_run7002/prod_v1/20260918_080209
