row_kind,label,model,het,method,data_seed,run_seed,heldout_quarantined,heldout_retrained,delta_retrained_minus_quarantined,torch_quarantined,sd_pair_ref,n,mean_delta,sd_delta,min_delta,max_delta,mean_abs_delta
pair,tl/a05,tl,a05,fedit,2002,7002,1.6917725877657472,1.6917724778362837,-1.0992946353205468e-07,2.14.0+cu130,0.00108,1,-1.0992946353205468e-07,,-1.0992946353205468e-07,-1.0992946353205468e-07,1.0992946353205468e-07
pair,tl/a05,tl,a05,fedit,2003,7002,1.6910985572941242,1.6910985373229885,-1.997113563412256e-08,2.11.0+cu128,0.00108,1,-1.997113563412256e-08,,-1.997113563412256e-08,-1.997113563412256e-08,1.997113563412256e-08
pair,tl/a05,tl,a05,fedit,2004,7001,1.6910526778496153,1.691052593109705,-8.47399104220159e-08,2.14.0+cu130,0.00108,1,-8.47399104220159e-08,,-8.47399104220159e-08,-8.47399104220159e-08,8.47399104220159e-08
pair,tl/a05,tl,a05,fedit,2005,7001,1.692295001700233,1.692295011483918,9.783684973285744e-09,2.11.0+cu128,0.00108,1,9.783684973285744e-09,,9.783684973285744e-09,9.783684973285744e-09,9.783684973285744e-09
pair,tl/a05,tl,a05,fedit,2005,7002,1.692265520109499,1.6922651910200641,-3.2908943481402275e-07,2.14.0+cu130,0.00108,1,-3.2908943481402275e-07,,-3.2908943481402275e-07,-3.2908943481402275e-07,3.2908943481402275e-07
pair,tl/a05,tl,a05,fedit,2006,7002,1.6915256569990431,1.6915255611360653,-9.586297777808284e-08,2.11.0+cu128,0.00108,1,-9.586297777808284e-08,,-9.586297777808284e-08,-9.586297777808284e-08,9.586297777808284e-08
pair,tl/a05,tl,a05,fedit,2007,7001,1.691966065131465,1.69196603195227,-3.317919494705279e-08,2.14.0+cu130,0.00108,1,-3.317919494705279e-08,,-3.317919494705279e-08,-3.317919494705279e-08,3.317919494705279e-08
pair,tl/a05,tl,a05,fedit,2008,7001,1.6912626437323295,1.6912627290363242,8.53039947568135e-08,2.11.0+cu128,0.00108,1,8.53039947568135e-08,,8.53039947568135e-08,8.53039947568135e-08,8.53039947568135e-08
pair,tl/a05,tl,a05,fedit,2008,7002,1.691299048826508,1.6912990010862992,-4.774020889719566e-08,2.14.0+cu130,0.00108,1,-4.774020889719566e-08,,-4.774020889719566e-08,-4.774020889719566e-08,4.774020889719566e-08
pair,tl/a05,tl,a05,fedit,2009,7002,1.6927821801506395,1.6927819905037382,-1.8964690129408268e-07,2.11.0+cu128,0.00108,1,-1.8964690129408268e-07,,-1.8964690129408268e-07,-1.8964690129408268e-07,1.8964690129408268e-07
pair,tl/a05,tl,a05,fedit,2010,7001,1.6924616679589084,1.6924615741927982,-9.376611020961434e-08,2.14.0+cu130,0.00108,1,-9.376611020961434e-08,,-9.376611020961434e-08,-9.376611020961434e-08,9.376611020961434e-08
pair,tl/a05,tl,a05,ffa_lora,2001,7001,1.7178046012237578,1.7178045225064036,-7.871735419051618e-08,2.14.0+cu130,0.00108,1,-7.871735419051618e-08,,-7.871735419051618e-08,-7.871735419051618e-08,7.871735419051618e-08
pair,tl/a05,tl,a05,ffa_lora,2002,7001,1.7179322500637941,1.717932158168069,-9.18957250295449e-08,2.11.0+cu128,0.00108,1,-9.18957250295449e-08,,-9.18957250295449e-08,-9.18957250295449e-08,9.18957250295449e-08
pair,tl/a05,tl,a05,ffa_lora,2002,7002,1.7178224085499283,1.717822337057945,-7.149198322231598e-08,2.14.0+cu130,0.00108,1,-7.149198322231598e-08,,-7.149198322231598e-08,-7.149198322231598e-08,7.149198322231598e-08
pair,tl/a05,tl,a05,ffa_lora,2003,7002,1.7176220579546897,1.7176220106190947,-4.733559499925377e-08,2.11.0+cu128,0.00108,1,-4.733559499925377e-08,,-4.733559499925377e-08,-4.733559499925377e-08,4.733559499925377e-08
pair,tl/a05,tl,a05,ffa_lora,2004,7001,1.7164959988081308,1.7164959627898517,-3.6018279025995525e-08,2.14.0+cu130,0.00108,1,-3.6018279025995525e-08,,-3.6018279025995525e-08,-3.6018279025995525e-08,3.6018279025995525e-08
pair,tl/a05,tl,a05,ffa_lora,2005,7001,1.7197627754644575,1.7197627040106456,-7.145381197837253e-08,2.11.0+cu128,0.00108,1,-7.145381197837253e-08,,-7.145381197837253e-08,-7.145381197837253e-08,7.145381197837253e-08
pair,tl/a05,tl,a05,ffa_lora,2005,7002,1.7197092671207936,1.7197091493738825,-1.1774691111021696e-07,2.14.0+cu130,0.00108,1,-1.1774691111021696e-07,,-1.1774691111021696e-07,-1.1774691111021696e-07,1.1774691111021696e-07
pair,tl/a05,tl,a05,ffa_lora,2006,7002,1.7188235741326443,1.7188235264984661,-4.7634178157451856e-08,2.11.0+cu128,0.00108,1,-4.7634178157451856e-08,,-4.7634178157451856e-08,-4.7634178157451856e-08,4.7634178157451856e-08
pair,tl/a05,tl,a05,ffa_lora,2007,7001,1.7199966324695914,1.7199965553096195,-7.715997196733326e-08,2.14.0+cu130,0.00108,1,-7.715997196733326e-08,,-7.715997196733326e-08,-7.715997196733326e-08,7.715997196733326e-08
pair,tl/a05,tl,a05,ffa_lora,2008,7001,1.7183515347776614,1.7183514609292472,-7.384841427260369e-08,2.11.0+cu128,0.00108,1,-7.384841427260369e-08,,-7.384841427260369e-08,-7.384841427260369e-08,7.384841427260369e-08
pair,tl/a05,tl,a05,ffa_lora,2008,7002,1.7185395149491918,1.7185394355956523,-7.93535395171574e-08,2.14.0+cu130,0.00108,1,-7.93535395171574e-08,,-7.93535395171574e-08,-7.93535395171574e-08,7.93535395171574e-08
pair,tl/a05,tl,a05,ffa_lora,2009,7002,1.7165269635279707,1.7165269468887507,-1.6639220001835042e-08,2.11.0+cu128,0.00108,1,-1.6639220001835042e-08,,-1.6639220001835042e-08,-1.6639220001835042e-08,1.6639220001835042e-08
pair,tl/a05,tl,a05,ffa_lora,2010,7001,1.7198349525150554,1.7198348373247616,-1.1519029374795764e-07,2.14.0+cu130,0.00108,1,-1.1519029374795764e-07,,-1.1519029374795764e-07,-1.1519029374795764e-07,1.1519029374795764e-07
pair,tl/a05,tl,a05,flora,2001,7001,1.6932607403774351,1.6932610680044915,3.2762705637345846e-07,2.14.0+cu130,0.00108,1,3.2762705637345846e-07,,3.2762705637345846e-07,3.2762705637345846e-07,3.2762705637345846e-07
